model_id,canonical_slug,model_name,provider,model_type,description,created,hugging_face_id,architecture,input_modalities,output_modalities,supported_parameters,supports_streaming,endpoints_url,supported_resolutions,supported_aspect_ratios,supported_sizes,supported_durations,supported_frame_images,generate_audio,seed,upscale_factor,creativity,allowed_passthrough_parameters,has_any_price,has_valid_pricing,pricing_unit,comparable_price,comparable_price_basis,pricing,endpoint_pricing,raw_source,retrieved_at
black-forest-labs/flux-video-edit,black-forest-labs/flux-video-edit-20260910,Black Forest Labs: FLUX Video Edit,black-forest-labs,video,"FLUX Video Edit [fast] takes a source video and an edit prompt and returns a precisely edited video. Add, remove, or replace objects and characters, rebuild the setting, edit on-screen...",1789073532,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,,,,,,False,False,,,"[""safety_tolerance""]",True,True,usd_per_second,0.03,plain_rate,"{""skus"": [{""sku"": ""cents_per_second_output"", ""raw_value"": ""3"", ""amount"": 3.0, ""currency"": ""cents"", ""quantity"": ""second"", ""unit_family"": ""cents_per_second"", ""usd_amount"": 0.03, ""conversion_applied"": true, ""currency_assumed"": false, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""cents_per_second_output"": ""3""}, ""sku_count"": 1, ""resolved_sku_count"": 1, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": ""usd_per_second"", ""usd"": 0.03, ""basis"": ""plain_rate"", ""basis_sku"": ""cents_per_second_output""}, ""usd_per_second_by_resolution"": {""default"": 0.03}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""cents_per_second""], ""unit_conversions_applied"": [""cents_per_second_output""], ""currency_assumptions"": []}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
minimax/hailuo-3-max,minimax/hailuo-3-max-20260901,MiniMax: H3 Max,minimax,video,"MiniMax H3 Max is a video-generation model from MiniMax, jointly released with fal.ai. Derived through additional training from MiniMax H3, it is designed for faster text-to-video and image-to-video generation with...",1788313310,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,"[""768p"", ""480p""]","[""21:9"", ""16:9"", ""4:3"", ""1:1"", ""3:4"", ""9:16""]",,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[""first_frame"", ""last_frame""]",False,False,,,"[""aigc_watermark""]",True,True,usd_per_second,0.08,plain_rate,"{""skus"": [{""sku"": ""duration_seconds"", ""raw_value"": ""0.08"", ""amount"": 0.08, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.08, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""duration_seconds_480p"", ""raw_value"": ""0.05"", ""amount"": 0.05, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.05, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": ""480p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""duration_seconds_768p"", ""raw_value"": ""0.08"", ""amount"": 0.08, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.08, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": ""768p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""duration_seconds"": ""0.08"", ""duration_seconds_480p"": ""0.05"", ""duration_seconds_768p"": ""0.08""}, ""sku_count"": 3, ""resolved_sku_count"": 3, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": ""usd_per_second"", ""usd"": 0.08, ""basis"": ""plain_rate"", ""basis_sku"": ""duration_seconds""}, ""usd_per_second_by_resolution"": {""default"": 0.08, ""480p"": 0.05, ""768p"": 0.08}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""usd_per_second""], ""unit_conversions_applied"": [], ""currency_assumptions"": [""duration_seconds"", ""duration_seconds_480p"", ""duration_seconds_768p""]}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
alibaba/wan-3.0-prime,alibaba/wan-3.0-prime-20260827,Alibaba: Wan 3.0 Prime,alibaba,video,Wan 3.0 Prime is a fast-mode variant of [Wan 3.0](https://openrouter.ai/alibaba/wan-3.0) from Alibaba. It supports text-to-video and first-frame image-to-video generation.,1787863800,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,"[""480p"", ""720p"", ""1080p""]","[""16:9"", ""4:3"", ""1:1"", ""3:4"", ""9:16""]",,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[""first_frame""]",True,True,,,[],True,True,usd_per_second,0.14,720p_tier,"{""skus"": [{""sku"": ""duration_seconds_480p"", ""raw_value"": ""0.068"", ""amount"": 0.068, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.068, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": ""480p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""duration_seconds_720p"", ""raw_value"": ""0.14"", ""amount"": 0.14, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.14, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": ""720p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""duration_seconds_1080p"", ""raw_value"": ""0.28"", ""amount"": 0.28, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.28, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": ""1080p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""duration_seconds_480p"": ""0.068"", ""duration_seconds_720p"": ""0.14"", ""duration_seconds_1080p"": ""0.28""}, ""sku_count"": 3, ""resolved_sku_count"": 3, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": ""usd_per_second"", ""usd"": 0.14, ""basis"": ""720p_tier"", ""basis_sku"": ""duration_seconds_720p""}, ""usd_per_second_by_resolution"": {""480p"": 0.068, ""720p"": 0.14, ""1080p"": 0.28}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""usd_per_second""], ""unit_conversions_applied"": [], ""currency_assumptions"": [""duration_seconds_1080p"", ""duration_seconds_480p"", ""duration_seconds_720p""]}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
alibaba/wan-3.0,alibaba/wan-3.0-20260824,Alibaba: Wan 3.0,alibaba,video,"Wan 3.0 is a video generation model from Alibaba for text-to-video, image-to-video, and reference-guided video generation. It produces 480p, 720p, or 1080p video with durations from 2 to 30 seconds.",1787603856,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,"[""480p"", ""720p"", ""1080p""]","[""16:9"", ""4:3"", ""1:1"", ""3:4"", ""9:16""]",,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[""first_frame""]",True,True,,,[],True,True,usd_per_second,0.1,720p_tier,"{""skus"": [{""sku"": ""duration_seconds_480p"", ""raw_value"": ""0.05"", ""amount"": 0.05, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.05, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": ""480p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""duration_seconds_720p"", ""raw_value"": ""0.1"", ""amount"": 0.1, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.1, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": ""720p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""duration_seconds_1080p"", ""raw_value"": ""0.2"", ""amount"": 0.2, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.2, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": ""1080p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""duration_seconds_480p"": ""0.05"", ""duration_seconds_720p"": ""0.1"", ""duration_seconds_1080p"": ""0.2""}, ""sku_count"": 3, ""resolved_sku_count"": 3, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": ""usd_per_second"", ""usd"": 0.1, ""basis"": ""720p_tier"", ""basis_sku"": ""duration_seconds_720p""}, ""usd_per_second_by_resolution"": {""480p"": 0.05, ""720p"": 0.1, ""1080p"": 0.2}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""usd_per_second""], ""unit_conversions_applied"": [], ""currency_assumptions"": [""duration_seconds_1080p"", ""duration_seconds_480p"", ""duration_seconds_720p""]}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
heygen/avatar-iv,heygen/avatar-iv-20260625,HeyGen: Avatar IV,heygen,video,"HeyGen: Avatar IV is an image-to-video model that animates a single photo into an expressive, lip-synced talking-head video. Rather than only matching mouth shapes to words, it interprets the vocal...",1787595728,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,"[""720p"", ""1080p""]","[""16:9"", ""9:16"", ""1:1""]",,,,False,False,,,"[""voice_id"", ""voice_settings"", ""motion_prompt"", ""expressiveness"", ""fit"", ""remove_background"", ""background"", ""caption"", ""title""]",True,True,usd_per_second,0.05,plain_rate,"{""skus"": [{""sku"": ""duration_seconds"", ""raw_value"": ""0.05"", ""amount"": 0.05, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.05, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""duration_seconds"": ""0.05""}, ""sku_count"": 1, ""resolved_sku_count"": 1, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": ""usd_per_second"", ""usd"": 0.05, ""basis"": ""plain_rate"", ""basis_sku"": ""duration_seconds""}, ""usd_per_second_by_resolution"": {""default"": 0.05}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""usd_per_second""], ""unit_conversions_applied"": [], ""currency_assumptions"": [""duration_seconds""]}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
black-forest-labs/flux-video-upscale,black-forest-labs/flux-video-upscale-20260819,Black Forest Labs: FLUX Video Upscale,black-forest-labs,video,"FLUX Video Upscale is a video upscaling model from Black Forest Labs. It enlarges a single source video by 1.5× to 3× while preserving its duration, with an optional prompt...",1787173919,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,,,,,,False,False,"{""min"": 1.5, ""max"": 3}","[0, 1]","[""safety_tolerance""]",True,False,,,,"{""skus"": [{""sku"": ""cents_per_megapixel_second_precise"", ""raw_value"": ""7.5"", ""amount"": 7.5, ""currency"": ""cents"", ""quantity"": ""megapixel_second"", ""unit_family"": ""cents_per_megapixel_second"", ""usd_amount"": 0.075, ""conversion_applied"": true, ""currency_assumed"": false, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": ""precise"", ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""cents_per_megapixel_second_creative"", ""raw_value"": ""10.5"", ""amount"": 10.5, ""currency"": ""cents"", ""quantity"": ""megapixel_second"", ""unit_family"": ""cents_per_megapixel_second"", ""usd_amount"": 0.105, ""conversion_applied"": true, ""currency_assumed"": false, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": ""creative"", ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""cents_per_megapixel_second_precise"": ""7.5"", ""cents_per_megapixel_second_creative"": ""10.5""}, ""sku_count"": 2, ""resolved_sku_count"": 2, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": null, ""usd"": null, ""basis"": null, ""basis_sku"": null}, ""usd_per_second_by_resolution"": {}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""cents_per_megapixel_second""], ""unit_conversions_applied"": [""cents_per_megapixel_second_creative"", ""cents_per_megapixel_second_precise""], ""currency_assumptions"": []}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
bytedance/seedance-2.0-mini,bytedance/seedance-2.0-mini-20260811,ByteDance: Seedance 2.0 Mini,bytedance,video,"Seedance 2.0 Mini is a video generation model from ByteDance. It supports text-to-video, image-to-video with first and last frame control, and multimodal reference-to-video with image, video, and audio inputs. It...",1786552600,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,"[""480p"", ""720p""]","[""1:1"", ""3:4"", ""9:16"", ""4:3"", ""16:9"", ""21:9"", ""9:21""]","[""480x480"", ""480x640"", ""480x854"", ""640x480"", ""854x480"", ""1120x480"", ""720x720"", ""720x960"", ""720x1280"", ""720x1680"", ""960x720"", ""1280x720"", ""1680x720""]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[""first_frame"", ""last_frame""]",True,True,,,"[""watermark"", ""req_key"", ""return_last_frame""]",True,False,,,,"{""skus"": [{""sku"": ""video_tokens"", ""raw_value"": ""0.0000035"", ""amount"": 3.5e-06, ""currency"": ""usd"", ""quantity"": ""video_token"", ""unit_family"": ""usd_per_video_token"", ""usd_amount"": 3.5e-06, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""video_tokens_without_audio"", ""raw_value"": ""0.0000035"", ""amount"": 3.5e-06, ""currency"": ""usd"", ""quantity"": ""video_token"", ""unit_family"": ""usd_per_video_token"", ""usd_amount"": 3.5e-06, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": ""without_audio"", ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""video_tokens_with_video_input"", ""raw_value"": ""0.0000021"", ""amount"": 2.1e-06, ""currency"": ""usd"", ""quantity"": ""video_token"", ""unit_family"": ""usd_per_video_token"", ""usd_amount"": 2.1e-06, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""video_tokens"": ""0.0000035"", ""video_tokens_without_audio"": ""0.0000035"", ""video_tokens_with_video_input"": ""0.0000021""}, ""sku_count"": 3, ""resolved_sku_count"": 3, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": null, ""usd"": null, ""basis"": null, ""basis_sku"": null}, ""usd_per_second_by_resolution"": {}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""usd_per_video_token""], ""unit_conversions_applied"": [], ""currency_assumptions"": [""video_tokens"", ""video_tokens_with_video_input"", ""video_tokens_without_audio""]}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
bytedance/seedance-2.5,bytedance/seedance-2.5-20260807,ByteDance: Seedance 2.5,bytedance,video,"Seedance 2.5 is a video generation model from ByteDance. It is suited for long-form storytelling, multimodal reference-based generation, video editing, and video extension. It supports first-frame and first-and-last-frame control, up...",1786141253,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,"[""480p"", ""720p""]","[""16:9"", ""4:3"", ""1:1"", ""3:4"", ""9:16"", ""21:9""]","[""854x480"", ""752x560"", ""640x640"", ""560x752"", ""480x854"", ""992x432"", ""1280x720"", ""1112x834"", ""960x960"", ""834x1112"", ""720x1280"", ""1470x630""]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[""first_frame"", ""last_frame""]",True,True,,,"[""watermark"", ""req_key"", ""output_format""]",True,False,,,,"{""skus"": [{""sku"": ""video_tokens"", ""raw_value"": ""0.0000107"", ""amount"": 1.07e-05, ""currency"": ""usd"", ""quantity"": ""video_token"", ""unit_family"": ""usd_per_video_token"", ""usd_amount"": 1.07e-05, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""video_tokens_without_audio"", ""raw_value"": ""0.0000107"", ""amount"": 1.07e-05, ""currency"": ""usd"", ""quantity"": ""video_token"", ""unit_family"": ""usd_per_video_token"", ""usd_amount"": 1.07e-05, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": ""without_audio"", ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""video_tokens_with_video_input"", ""raw_value"": ""0.0000064"", ""amount"": 6.4e-06, ""currency"": ""usd"", ""quantity"": ""video_token"", ""unit_family"": ""usd_per_video_token"", ""usd_amount"": 6.4e-06, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""video_tokens"": ""0.0000107"", ""video_tokens_without_audio"": ""0.0000107"", ""video_tokens_with_video_input"": ""0.0000064""}, ""sku_count"": 3, ""resolved_sku_count"": 3, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": null, ""usd"": null, ""basis"": null, ""basis_sku"": null}, ""usd_per_second_by_resolution"": {}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""usd_per_video_token""], ""unit_conversions_applied"": [], ""currency_assumptions"": [""video_tokens"", ""video_tokens_with_video_input"", ""video_tokens_without_audio""]}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
black-forest-labs/flux-3-video,black-forest-labs/flux-3-video-20260804,Black Forest Labs: FLUX.3 Video,black-forest-labs,video,"FLUX.3 Video is a video generation model from Black Forest Labs. It supports text-to-video, image-guided generation with opening and closing keyframes, and video continuation workflows, making it suited for controlled...",1785858831,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,"[""720p"", ""1080p""]","[""21:9"", ""16:9"", ""4:3"", ""1:1"", ""3:4"", ""9:16""]",,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[""first_frame"", ""last_frame""]",True,False,,,"[""safety_tolerance"", ""version""]",True,True,usd_per_second,0.17,plain_rate,"{""skus"": [{""sku"": ""cents_per_second_output"", ""raw_value"": ""17"", ""amount"": 17.0, ""currency"": ""cents"", ""quantity"": ""second"", ""unit_family"": ""cents_per_second"", ""usd_amount"": 0.17, ""conversion_applied"": true, ""currency_assumed"": false, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""cents_per_second_output_720p"", ""raw_value"": ""17"", ""amount"": 17.0, ""currency"": ""cents"", ""quantity"": ""second"", ""unit_family"": ""cents_per_second"", ""usd_amount"": 0.17, ""conversion_applied"": true, ""currency_assumed"": false, ""resolution_variant"": ""720p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""cents_per_second_output_1080p"", ""raw_value"": ""29"", ""amount"": 29.0, ""currency"": ""cents"", ""quantity"": ""second"", ""unit_family"": ""cents_per_second"", ""usd_amount"": 0.29, ""conversion_applied"": true, ""currency_assumed"": false, ""resolution_variant"": ""1080p"", ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""cents_per_second_video_continuation_720p"", ""raw_value"": ""41"", ""amount"": 41.0, ""currency"": ""cents"", ""quantity"": ""second"", ""unit_family"": ""cents_per_second"", ""usd_amount"": 0.41000000000000003, ""conversion_applied"": true, ""currency_assumed"": false, ""resolution_variant"": ""720p"", ""audio_variant"": null, ""operation"": ""video_continuation"", ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""cents_per_second_video_continuation_1080p"", ""raw_value"": ""53"", ""amount"": 53.0, ""currency"": ""cents"", ""quantity"": ""second"", ""unit_family"": ""cents_per_second"", ""usd_amount"": 0.53, ""conversion_applied"": true, ""currency_assumed"": false, ""resolution_variant"": ""1080p"", ""audio_variant"": null, ""operation"": ""video_continuation"", ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""cents_per_second_output"": ""17"", ""cents_per_second_output_720p"": ""17"", ""cents_per_second_output_1080p"": ""29"", ""cents_per_second_video_continuation_720p"": ""41"", ""cents_per_second_video_continuation_1080p"": ""53""}, ""sku_count"": 5, ""resolved_sku_count"": 5, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": ""usd_per_second"", ""usd"": 0.17, ""basis"": ""plain_rate"", ""basis_sku"": ""cents_per_second_output""}, ""usd_per_second_by_resolution"": {""default"": 0.17, ""720p"": 0.17, ""1080p"": 0.29}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""cents_per_second""], ""unit_conversions_applied"": [""cents_per_second_output"", ""cents_per_second_output_1080p"", ""cents_per_second_output_720p"", ""cents_per_second_video_continuation_1080p"", ""cents_per_second_video_continuation_720p""], ""currency_assumptions"": []}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
minimax/hailuo-3,minimax/hailuo-03-20260730,MiniMax: H3,minimax,video,"MiniMax H3 is a lightweight, open-weights video generation model from MiniMax. It is designed for precise multimodal editing and controlled content generation, including instruction-guided edits, text and brand rendering, and...",1785366648,,"{""modality"": null, ""input_modalities"": null, ""output_modalities"": [""video""], ""synthesized"": true}",,"[""video""]",,,,"[""2K""]","[""21:9"", ""16:9"", ""4:3"", ""1:1"", ""3:4"", ""9:16""]",,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[""first_frame"", ""last_frame""]",True,False,,,"[""aigc_watermark""]",True,True,usd_per_second,0.13,plain_rate,"{""skus"": [{""sku"": ""duration_seconds"", ""raw_value"": ""0.13"", ""amount"": 0.13, ""currency"": ""usd"", ""quantity"": ""second"", ""unit_family"": ""usd_per_second"", ""usd_amount"": 0.13, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": null, ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}, {""sku"": ""reference_images"", ""raw_value"": ""0.04"", ""amount"": 0.04, ""currency"": ""usd"", ""quantity"": ""image"", ""unit_family"": ""usd_per_image"", ""usd_amount"": 0.04, ""conversion_applied"": false, ""currency_assumed"": true, ""resolution_variant"": null, ""audio_variant"": null, ""operation"": ""reference_image"", ""is_minimum"": false, ""is_negative"": false, ""is_parseable"": true}], ""raw_pricing_skus"": {""duration_seconds"": ""0.13"", ""reference_images"": ""0.04""}, ""sku_count"": 2, ""resolved_sku_count"": 2, ""unresolved_sku_keys"": [], ""has_any_price"": true, ""comparable_price"": {""unit"": ""usd_per_second"", ""usd"": 0.13, ""basis"": ""plain_rate"", ""basis_sku"": ""duration_seconds""}, ""usd_per_second_by_resolution"": {""default"": 0.13}, ""usd_per_image_by_resolution"": {}, ""unit_families"": [""usd_per_image"", ""usd_per_second""], ""unit_conversions_applied"": [], ""currency_assumptions"": [""duration_seconds"", ""reference_images""]}",,openrouter:/api/v1/videos/models,2026-09-17T03:40:50.991972+00:00
